,text
449,"but i'm beyond thankful for the help  gave me today  computer was defective and they replaced it, while i just payed the difference"
450,if i fail poli sci because of this fucking laptop i'm suing 
451,got new cases   )     slc  citycreek  apple  applestore  red  productred  aids  founda    
452,wtf   my phone is in do not disturb and i'm still getting notifications   fix this shit  
453,currently on hold with  in cupertino to try to set up a genius bar appointment in madrid  dontask
454,first tweet from my new   iphone 6 plus   newtoy
455,you just did too much you asshole   get your shit together 
456,so  wouldn't fix my phone and claims that i didn't tell them to screen was fucked 
457," iphone6 users complain to    apple  about front  ( wednesday, 3  december) "
458,got new cases   )     slc  citycreek  apple  applestore  red      
459,  trumps  in streaming media sales 
460,apple secretly deleted ipod owners' songs downloaded from competing music services   aapl
461,"dear   
 
why oh why do i have to baby sit copying files in the pos finder? it's not like copying files is hard  oh wait, it's you "
462, please get yourself together! i need my products to work!
463,"dear  
 
now it's my fault that your pos macbook airquotes pro does not have fast ports  drop the pro in the future   toycomputer"
464," hi! a few days ago i purchase 2 ringtones and non of them appear on my phone or purchased, but they appear in my credit card"
465, if you didnt make such good products i would boycott you forever
466,"as the sun devils were making their 20 2 run on us, my phone called 4 people and hung up on them all on it's own  wtf!  iphoneissues "
467, apple admits it deleted songs purchased through competing stores from ipods         aapl  realnetworks
468,  gotta switch to that android life  galaxy
469,"luv   iphone i've had pretty much all the iphones   3gs,  4 ,  4s ,  5c  amp    mobilephone  "
470,"not happy  have caused this to happen through a  osx system update, still on mavericks  "
471, is becoming very petty about not allowing certain apple dev resources work in chrome 
472,    i agree about apple  their customer service is based on condescending employees treating
473,is there anything more maddening than notifications re appearing with app upgrade? 
474, your chargers suck
475,more  fuck you  
476, aapl apple inc  (aapl) falls for week because of monday morning drop   
477,apple inc  ceo donates  291k to pennsylvania school district   aapl
478, runs the world  look around you
479,my fix for syncdefaultsd crashing every five minutes and losing preference settings  keep system preferences open 
480, ios8 upgrade creates  cutandpaste problems  not impressed  anyone else ha
481,"  my music library wont sync new music etc, itunes tells me sync completed, nothing new uploaded,how do i fix this? frustrating"
482, fucking let everyone name the group chats their own things please and thanks
483, honestly sucks
484,      you get 6ms ping  i get no connection  thanks  
485, yosemite needs a lot more testing  just hooked machine to thunderbolt display and was greeted with this  
486,how do i only have 12 7 gb used if my phone is 16 gb?  
487, make some better chargers fam or make them cheaper cuz rn this ain't getting the job done
488,has anyone figured out why  iphones randomly lose their contacts for a few hours for no reason?  wth
489,how can my phone die while plugged in wtf 
490,hey   i'm not a fan of your latest commercial!!
491,how is 41 degrees nice weather  
492, accused of deleting songs from  ipods without users' knowledge 
493, chrome books overtake  devices in the education market!  via 
494,over 1 hour on hold with  customer service trying to figure their messup o 
495,fuck you 
496,rt  fuck you 
497,iphone chargers can suck my ass   disappointed
498,aye forreal tho done w yo bs 
499, how does the word 'demographic' not have any synonyms attached in your dictionary application  incompetence
500,wtf  y'all shit be cheap  
501,rt  wtf  y'all shit be cheap  
502,iphone battery life takes the piss sort it out  iphone  iphone  apple 
503,"seriously wtf iphone  it's been fucking up all day, now it won't let me set my alarm for my 9 30 lecture  fkn  you can pay my tuition"
504,'  true   silly iphone'  get your life together
505,rt  '  true   silly iphone'  get your life together
506, u niggas really put this weak ass album n this gay ass artwork on my iphone? im bout to go buy my first galaxy 
507,apple inc  fails app store trademark appeal   aapl
508, removed songs from ipods without telling customers 
509, why is it that your iphone's alarm fails to work sometimes?? i missed 3 bonus points from a class because of this  sooooo annoyed
510,photo  amazing customer service today  utc store  i worked form the store for several hours on    
511,i'm so done with this piece of shit phone why doesn't it ever send me notifications when taylor tweets fuck u 
512,amazing customer service today  utc store  i worked form the store for several hours on  tbjapodcast while    
513,loving the os update for my mac!  yosemite 
514,where's a freaking gelato emoji when you one? (cc  
515,oh  how many feedback assistant messages do i have to send before you do anything about it?
516, once again  is inconsistent with app rules to maintain their plausible deniability  sorry to hear that greg 
517,  has a 40  market share of uk smartphone market   driven by the iphone 6  great that over a third of sales were made in apple stores 
518,i thought this shit was suppose to be gorilla glass 
519,great  attachment means we can watch  awards via  via my    
520,   your definition of 'easy' is warped  thanks for the useless corporate speak 
521,"11am and 20  battery  die, "
522, did that yesterday    again! told the issue was with  not   this has just added to the worst 3 months of customer service ever!
523,when is  going to stop producing these pieces of shit earphones? its about time for earphones that dont tangle! 
524,"i'm happy now, thnx fags  "
525,here's apple's next great business (aapl)   investwall  aapl
526,thank you mr smug   who told me i was at fault for lightening cable breaking  err no just read the forums   crapcable
527," l agree with you, they're about as robust as a chocolate fire guard  "
528,"   'but you see sir, its how you handle them' no its not if so robust why a wall full of them     appleporkies"
529,  yeah apple ur slackin
530,"apple devices clobber androids on cyber monday, but the underdog is catching up  aapl  aapl 
"
531,well thanks  for losing over 5000 of my songs off my classic and now every photo i had on my itouch was deleted   greatcompany
532,day 338  my 1st ipod from 2005  had stopped workin years ago!!! just came back to life!! wtf  
533,why does  take so long to send you the password reset email  ipod  apple  soslow
534, make them poor to increase profits?  cynic  
535, apple is now worth more than the entire russian stock market  via   aapl  aapl
536,"new products, 'innovative services' lead barclays to hike apple price target by 17  to  140   aapl  aapl 
"
537,walked into work and seen this   who tf traded in a bent up ass iphone   yall needa fix this shit 
538,almost want back to an android because why won't apple have torrent?
539,"thanks  for the heads up but i live in a frozen wasteland, not an arid desert  "
540,"rt  apple iphone 6, 6 plus and retina imac ship times improve in time for holidays   aapl  aapl 
"
541,"rt  insanely great news   teams up with  for iads programmatic launch 
"
542, why are apple users surprised?  tells them how to hold their phones what's on their phones  amp  what they can listen to  isheep
543,"why apple  is poised to have a record breaking holiday season  aapl  aapl 
"
544,  you need to sort your phones out 
545,"rt  why apple  is poised to have a record breaking holiday season  aapl  aapl 
"
546," why is your nyc grand central store so bad when it comes to service? 14th street is much, much better   "
547," iphone6 sales success gives    apple  best ever uk market position  ( thursday, 4  december) "
548,fuck you  my phone has been searching for service for almost a complete day
549,"rt  even more reason for  to stop using benzene in its manufacturing  
 
"
550,  greatservice thanks for helping me out   sylvester
551,i've been waiting 2 months for my iphone 6  what the fuck  
552, is way better than 
553,block trade detected in  aapl
554,i truly feel   apple needs to do more with itunes match to make it worth it 
555,is this happening on your  itunes account?  is secretly deleting your non itunes music  
556,"from afternoon tea to   ipadair2, there is something for everyone with  touchpoint rewards    visit  more info"
557,"hey  fuck you for thinking i want text messages to pop up on my computer, ipad and phone    thisiswhypeoplegetmurdered"
558,"if you offer  feedback on their messaging program, the webpage is from ichat (so like 2010)  "
559, you are loosing all the things that used to make you so much better to live with than windows
560,i don't undestand how   creditcare website doesn't work on  prod had to request paper bills  whatyearisit  poorcustomerservice
561,"congrats  rt  fda cleared, smartphone connected thermometer  stores!  "
562,block trade detected in  aapl
563, share of uk smartphone sales soared to 39 5  in the 3 months to october thanks to  iphone6 launch
564,okay so now the sound to my phone is messed up  i really think you're doing this on purpose 
565,what the hell is this    glitches 
566,"rt  11am and 20  battery  die, "
567, apple inc  to have an 'explosive' quarter  jmp analyst  aapl 
568,how an svn connection led to safer conditions for  workforce   
569,"how apple  is crushing google  on mobile shopping   aapl  aapl 
"
570,what are you talking about  i back it up all the time 
571, aapl beacons hit stores ahead of holidays   
572,rt  how an svn connection led to safer conditions for  workforce   
573,block trade detected in  aapl
574,my new mbp is freaking awesome   apple  macbookpro  lovingit
575," aapl shorting apple at 116    love the company, love their products, everybody admires apple, but the capitalization is way too wild "
576, wtf  fix this
577,"thestreet   cramer says buy mapple, as  avago tech's earnings hint at big demand  avgo  aapl "
578,  i domt think so
579,"apple named 10th most disruptive idea in the past 85 years by businessweek  aapl  aapl 
"
580,"rt  apple named 10th most disruptive idea in the past 85 years by businessweek  aapl  aapl 
"
581, peroquemorro !!!! 'lawyers say  ipods deleted songs not purchased from   via 
582,"' while  still dominates e commerce,  devices are grabbing market share  "
583,i could really kick  's ass  this iphone 6 battery sucks moldy dick on a tuesday night ! worst shit ever  only last 4 fucking hours 
584,disgusted with  advertising for the ipad air   falseadvertising  nono
585,done with this iphone 6 plus apple or sprint giving me my bread back  trash ass phone full of fuck ups  
586,rt  done with this iphone 6 plus apple or sprint giving me my bread back  trash ass phone full of fuck ups  
587," ay cuhz step your shit up,have a good phone with a real charger ready by february or we outro"
588,an osx update just bricked my macbook pro!   fuck  
589, aapl a developer perfectly summed up the limitations of the apple watch   
590,"the ceo of  warns wearables makers that tech needs productivity, not novelty like  siri  
 
"
591, aapl how apple inc (aapl) is crushing google inc (googl) on mobile shopping   
592,free s o  for this nice ipad
593,"  def gotta have it, i don't even like watches"
594,"  needs to stop auto arranging the home screen, and allow users to position apps wherever they want "
595,lol fuck you  if i'm going to pay you my left arm  amp  leg for a product   make it last for more then a couple months  shittychargers
596,i have no more storage left  fuck you 
597,"if you would've invested  50,000 in 2005 in  aapl stock you would have  1,315,066 today   shucks"
598,  it looks like  is offering a free course on one of their programs   is that the same thing you are seeing?  hourofcode
599,"gotta love the genius bar at  thanks for your help alex!! at apple store, suburban square "
600, i wish  would do something similar! its almost worth switching to samsung for it
601, aapl apple executives to take stand in antitrust trial   
602, is in and  is out at emanon records   apple was premium product  now it is an average product with a premium price 
603,my ipad is playing disgusting music and i cannot make it stop  help! 
604,nice job  would you like your kid to sit on this? 
605,icloud drive quirk  delete a folder with stuff   it reappears with same stuff    icloud 
606,it took just one month for the  iphone6plus to become the king of  phablets     is king!  jobspring  technews 
607,"spent 6000 eur at apple  iphone 6 camera no longer works told i got water in it,i did not  unacceptable customer service "
608,"rt  spent 6000 eur at apple  iphone 6 camera no longer works told i got water in it,i did not  unacceptable customer service "
609,looks like  could become a leader in cs education 
610,it took just one month for the  iphone6  plus to become the king of  phablets  via   aapl
611,"new  problem  at airport  boarding pass on phone  held up to scanner at security, and my  applepay credit card takes over screen "
612,dear  i love my iphone 6 plus   a lot  it is a great achievement  but why is it the only iphone i've had that reboots 3x day?  fail
613, deleted users' non  itunes music and didn't tell them about it  via   apple  music
614,ios 8 1 has fucked my battery life on my iphone 6  really starting to wonder if  has any quality control anymore  wish i was on 8 01
615,"what maketh thee of this pesky 'b' that appears at the end of people's text messages,  "
616,"apple 'deleted' rivals' music from ipods, court hears      apple  itunes  ipods "
617,very displeased with the lack of  bdsm themed  emojis   
618,second phone charger broke in two weeks  i hate you
619,"no  today,charger broken  help please  what can i do   "
620,hey  can you fix safari your queryselectorall so jquery unit tests pass?   
621,'an overarching conspiracy'     amp  more accused of suppressing worker compensation  
622,my phone was on 19 percent and then it shut off okay  fuck you
623,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
624,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
625,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
626,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
627,  yeah guys
628,  i really miss you!
629,  so amazing
630,"rt  what maketh thee of this pesky 'b' that appears at the end of people's text messages,  "
631,"  40,000 feet keep flying  )"
632,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
633,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
634,"  45,000 feet keeeppppp flyinggggg"
635,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
636,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
637,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
638,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
639,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
640,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
641,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
642,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
643,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
644,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
645,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
646,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
647,"  the plane is amazing! you look so cool  yes, we all need this battery  write me for this list   )"
648,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
649,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
650,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
651,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
652,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
653,  how cool that you're working on new music  can't wait to hear it  but you're working hard  you need rest   )
654,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
655,"  hahha all apple users have the same problem   
 
low batteries  "
656,  thanks for sharing pics  awesome guys!  )
657,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
658,  my babyyyss
659,  how they look this is so cute
660,  i wanna hug them so much
661,  this is so beautiful
662,  this is awesome! can i join?
663,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
664,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
665,this is why i moved over to  
666,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
667,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
668,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
669,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
670,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
671,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
672,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
673,mark  zuckerberg takes shot at  apple  aapl  fb   via 
674,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
675,"ok,    i guess app developers should takethis weeek off, huh? "
676,  awsome
677,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
678,  you all are ready to go   coloradolovesyou
679,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
680, i want to stay with   me and  don't get along
681,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
682,phone just died while it was plug in   what the hell?
683,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
684,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
685,  that's what i was thinking today! after nearly two years mine only lasts for four hours now  (
686,   appleaddict ! the show in paris was amazing !!!! thank you guys !!!! see you soon !
687,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
688,  'you can do it'  )
689,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
690,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
691,  wow that's amazing
692,i'm really enjoying garageband    garageband
693,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
694,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
695,i got faith in you  don't let me down  help me help you
696,we're at ciosynergy  ciolosangeles   giving away  tvs   visit  and   
697,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
698,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
699,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
700,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
701,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
702,why the fuck are all my messages being sent through my email and not phone number 
703," aapl lawsuit   apple deleted songs from ipods without telling users  according to the guardian, apple deleted    "
704,can someone  tell me why i now have to reset my appletv every other day? interesting that there's a ir remote code to reset the box 
705, aapl apple deleted music from customers' ipods   
706,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
707,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
708,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
709,"  rules,    amp    blow!"
710, tree who knows  maybe the cop didn't get a cig deal   senseless 
711, is this how you train your employees to deal with issues?? to hang up on the customer? after 15 fucking minutes of me waiting on hold
712,  i spy a pair of m50s  keep up the good work!
713,finally got my iphone 6 in the mail and it comes out of the box with a busted screen   thanks 
714,itunes is pissing me tf off 
715,"rt  kantar worldpanel  iphone sales in october were 'huge'  aapl  aapl 
"
716," i would say it had a good life but fuck man, little guy was only like 3 mths old, fck u  and ur piece of shit chargers"
717,dash now accepts  applepay   thanks  for making this happen  mobilepayments  paywithdash 
718, pls make better chargers  )
719,yay  customer support was super nice and helpful and now my imessages is verified 
720,waited until i finished  dissertating to install  yosemite on my aging macbook  yikes  those icons sure are  ugly!
721,thought this just happened to me  why i hate  to this day   via 
722,'they certainly do not have the design of  or platform of  not surprised tablets phones failed '   leadinginlocal
723,cool piece      
724,whoever works on the  itunesconnect backend needs a good slap across the back of the head  bad  ux and vague error messages ahoy 
725, please work on being able to still use your phone when someone calls you so i can successfully ignore my moms call while on twitter
726,at the genius bar store   very helpful  aapl staff and whoever helped me was genius  comp wking again  
727,my iphone just autocorrected believe to beiber   how hard do you guys need to give it up?
728,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
729,      love it! some great dance moves too  )
730,what the actual fuck 
731,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
732,"ugh so annoyed, 3 chargers in the last 4 weeks i hate you "
733,"the slow food movement is a metaphor for the platform strategy of apple on iphone, ipad and apple watch   aapl"
734,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
735,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
736,it is such fucking horseshit that i have to install chrome just to watch  on my mac  hey  when are you going to fix this?!??
737,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
738,how long is this  ios 8 1 1 update going to take?!
739,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
740,"in the world of  mobile  processors,  aapl 64 bit chips blow away  competition   disruptive  technology at its best  "
741,i just want to delete all my emails without turning 40 
742,congrats to  mary sotos   for green power leadership awards at rem14   
743,  aww look tht u have a lot of work guys good luck!
744," official i have 2 appletv's constantly loosing network co, watching tv media is impossible, can you re"
745,ok seriously    when is  going to fix ios 8? i'm still missing music!
746, it is funny that you need an old   to promote your new   applesetsthetrend
747,fuck u  i just dropped my new iphone6  and it got all sctratched up ! im done with apple so fucking fragile
748,  so great to see that you guys are recording in the air! hopefully batteries of future will come out soon!  )
749,why do you hate business so much 
750,  fuck wrong witchall niggas ?
751,rt    fuck wrong witchall niggas ?
752,get three way facetimeing  im sick of google hangouts  
753,  macos  yosemite is a buggy piece of shit  it makes me miss  windows8 
754, make bigger storage
755,omg omg i just paid a kinder bueno w   pay at walgreens awesome experience at walgreens 
756,photo  omg omg i just paid a  bueno w   pay at  awesome experience (at walgreens) 
757,if my phone dies mid tweet i will sue you 
758,this happened to me several times!! fuck you  deleted rivals' music from ipods for years    
759,i'm not happy about that 
760, just changed the game  applelive
761, get it together
762, and  the support i received for my ipad tonight was ridiculous going in circles with no solution smh
763,  the ipad update to ios 8 is an absolute disaster  nothing works right anymore  safari crashes constantly   ifail
764, deleted music from customers' ipods 
765,"hey  why is my phone dying when it's on the charger  
ur stuff sucks"
766,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
767, doesn't even own that handle? lol siri knows nothing is what i wanted to tell you mac peeps
768,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
769,  yosemiteproblems erases my saved pass words every day  this is getting annoying 
770,and they ain't open till 8 to help me so i can't even contact anyone for the shoot now  u can suck multiple digs  whack
771,i hate my macbook now  fuck this update and fuck you 
772,yall chargers weak yall needa make iphone charger otterboxes for the cord 
773,s o to  for charging me for two ringtones and then not letting me use them   thanksobama
774, and these are the top places to work       doesn't reflect society's makeup 
775,  i'll take a look at that  i'm fed up with ipad well  amp  truly  
776,i swear to fuck i would rather cut and splice physical fucking tape than dick around with one more  product with shit design 
777,i love  bc i can record in my home  but can they pull some serious fuckshit  this thing is designed to get lost 
778,"apple may be working on virtual reality, but it's destroyed the evidence 
     talk to me!  scuba"
779,your telling me there's no santa claus emoji? 
780,playing with   healthkit  somebody needs to show them how to make proper axis labels   infographic  design 
781,"between 07  amp  09,  deleted  music off of some customers' ipods without telling them  "
782,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
783,"apple inc  ( aapl), anti trust laws, class action lawsuit and viable  plaintiffs   technology"
784, sunrise  northamptonshire  northampton wow what a sunrise this morning  iphone6  apple   sun 
785,rt   sunrise  northamptonshire  northampton wow what a sunrise this morning  iphone6  apple   sun 
786,this is why i would never want to own an  device  but sadly people seem to be okay with that  
787,"gotta love the autocorrect in iphone  nothing makes a person more illiterate than that  fuck me,quit guessing and not let us correct  "
788,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
789,"  that looks amazing, don't think anyone can say they recorded music on a plane haha"
790,"' studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
791,'after school' app gets pulled by      i say good!  cyber bullying is awful 
792,  total nightmare!!!! and they take a big slice of the cake !
793,why is my phone on 26 if i charged it all night hmmmmm?   
794, it's doing strange things to  files as well   create a new folder and it disappears etc     yosemite  bugs
795,it's done well but my '04  40gb  ipod photo has possible come to an end after 10yrs  battery won't charge!  ( 
796,rt    or you can't even sync folders
797,steve wozniak tries to gut the legacy of the late steve jobs   uncool   via 
798,that's what happened to my music!  deleted music from customers' ipods 
799,"ok, i finally decided to buy this big 'ipad' to phone     iphone6 grey by  normally more excited    smartphone"
800,"i for india  apple plans big push with 500 stores  aapl  aapl 
"
801,   it is a universal problem with 128gb models  some people think there will be a total recall 
802, to host free workshops to take the mystery out of coding   cnet   technology  coding  
803,apple tv fades away in streaming video player market     vod  streaming 
804,the dirty secret in the shadow of silicon valley      nice 2 know ur doing good with ur billions!
805,"finally!  gives  india the attention it deserves, plans to set up more than 500 stores  via "
806,any other  iphone6 users have a random  vertical  line showing up on their screen since  upgrading to  ios811? 
807,rt  apple tv fades away in streaming video player market     vod  streaming 
808,i just held my phone close to my cheek and it gave me a shock ohhshit  help
809, fully explains our airplay trouble   fix your shit 
810,"after years of losses apple is finally clawing back some market share against android  aapl  aapl 
"
811, aapl apple deleted songs from customers' ipods   
812,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
813,the  enterprise developer agreement is (wait for it ) 719  (seven hundred and nineteen) pages !!
814,"when a company is playing catch up, it lost its innovation momentum  sorry   via "
815,only had the iphone 2 years  still can't decipher how to use calendar   isitme  who gets paid how much?
816,"rt  'congrats to  mary sotos  for green power leadership awards  '
"
817, gbp200 repair an  iphone5 that died 4 mths out of warranty  the new phone comes with only 90 days warranty  why?!?!  unhappycustomer
818,mark  zuckerberg slams tim  cook  you don't care about your customers  fb  aapl  
819,  i can't say enough about how awesome apple has been  they've already processed a reorder for the phone that ups lost
820,mark  zuckerberg slams tim  cook  you're not in alignment with your customers  fb  aapl  
821, 'deleted  ipod  music from rival services' 
822, excellent customer service thanks ian  applestorecoventgarden
823, why i cannot alt tab back to full screen app!? grrrr!  usability
824, why the fuck when i leave my charger at home do i gotta start sending my goodbye texts at 10 09am?
825,how apple became one of the greenest companies in america     energy  efficiency
826,rt  yea let me just pay 600 dollars for phone so it dies at 30  fix your shit 
827, founder attacks  boss over 'ridiculous' comments 
828,"dear  i place all my browser eggs in the  safari basket  guess what? safari is broken, please fix the release you pulled   fail"
829,"foxconn robots proving unsuitable for iphone assembly, updated versions in the works   aapl"
830,"the king of the phablets! apple's iphone 6 plus is bestseller for past three months    aapl  aapl 
"
831,what is the point of making an apt at  genius bar when you sit and wait for 40 min and counting?!
832,rt  your telling me there's no santa claus emoji? 
833,   hasn't apple been doing this for decades? this is why i don't support apple   apple  deletegame
834,"watching  orion  eft1 reenter at 20,000mph on my   iphone as i am driving 80mph through the middle of no  amp  where texas   howcoolisthat"
835,   it's definitely a bit frustrating as a consumer  i'm a big  supporter
836,why i hate  apple   aapl  
837,my  power cord caught on fire!   yet another non travelling power cord i have less than a year    applecordfire 
838,what i find alarming about  power cords is how quickly they fray   i don't always notice when i don't travel with them   applecordfire
839,"and if i leave my mac plugged in when i leave the house, do i need to check the  power cord every time?   applecordfire"
840,and how about kids?  do parents need to monitor the  power cords daily to make sure they are still safe?   applecordfire
841,"i was out to dinner last night and left my computer to charge   had the fire happened then, i'd have no house     applecordfire"
842, special education staff working hard on behalf of our students with disabilities  ed1426 
843,"dear  all i want for xmas is for ios 8 to stop crashing my ipad   signed, cindy lou who of whoville  apple"
844,hey  how can i take u2's album off my phone?
845,apple inc  deleted songs from rival services from ipods   aapl
846,so cool!  stores will host free 'hour of code' workshops on dec  11 to promote computer science    tech
847,9 awesome paid  iphone apps that are free for a limited time (save over  100!)  via   aapl
848, the fact these itunes updates makes it anal to reset play counts sometimes yall do the mosttttt
849,why is it so hard to reach   buy suicide squad comics at apple store in turkey?   
850, how why did my ical undo 6 months of entries related to recurring date entries? they all re set to 'pay cc'  i had changed to  amnt  
851,way to go  
852,just watched my dad struggle to answer a call because his  iphone wouldn't let him answer  great job on  ios  not   
853, ical again!!! it reset all my recurring in spite of months of individualizing each one per current date   fail  icloud  sucking
854,love the  is supporting  hourofcode with workshops!  ) 
855,rt  love the  is supporting  hourofcode with workshops!  ) 
856,rt  love the  is supporting  hourofcode with workshops!  ) 
857,rt  love the  is supporting  hourofcode with workshops!  ) 
858,rt  love the  is supporting  hourofcode with workshops!  ) 
859,rt  love the  is supporting  hourofcode with workshops!  ) 
860,rt  love the  is supporting  hourofcode with workshops!  ) 
861,rt  love the  is supporting  hourofcode with workshops!  ) 
862,wanted the  iphone 6 but that lighting charger made me go to an   1020 
863,rt  love the  is supporting  hourofcode with workshops!  ) 
864,  let me just go ahead and get this one out of the way  'u gonna get a virus  amp  ur whole house will explode!'
865,"zuckerberg attacks  if apple really cared about customers, iphones would cost less  aapl  aapl 
"
866,rt  love the  is supporting  hourofcode with workshops!  ) 
867,rt  love the  is supporting  hourofcode with workshops!  ) 
868,rt  love the  is supporting  hourofcode with workshops!  ) 
869,rt  love the  is supporting  hourofcode with workshops!  ) 
870,rt  love the  is supporting  hourofcode with workshops!  ) 
871,"my keyboard only ever freezes up when i'm trying to talk to ian,  why do u hate the sophian"
872,"2nd day with my new iphone, wtf  ?! 
in switching to  "
873,rt  love the  is supporting  hourofcode with workshops!  ) 
874, iphone5s is the best mobile that i have had  that's easy it is only that works and it is wonderfull! thanks  
875,wut?  can i have my money back? kthx 
876,took me an hour (half of it was decided in a bubble bath) that i cannot download ios 8  i hate you  
877, blame 
878,"dude,  is all over the marketing for beats  they have a great marketing team at apple "
879,why don't we have harry potter emojis please work on this 
880,rt  why don't we have harry potter emojis please work on this 
881,rt  why don't we have harry potter emojis please work on this 
882,rt  why don't we have harry potter emojis please work on this 
883,rt  why don't we have harry potter emojis please work on this 
884,rt  love the  is supporting  hourofcode with workshops!  ) 
